product_name,category,actual_price,discounted_price,discount_percentage,price_diff
"pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,1299.0,349.0,73.0,950.0
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",999.0,349.0,65.0,650.0
"SanDisk Ultra® microSDXC™ UHS-I Card, 128GB, 140MB/s R, 10 Y Warranty, for Smartphones",Electronics|Accessories|MemoryCards|MicroSD,1800.0,959.0,47.0,841.0
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 | 5000 mAh Battery",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,11999.0,9499.0,21.0,2500.0
"MI 10000mAh Lithium Ion, Lithium Polymer Power Bank Pocket Pro with 22.5 Watt Fast Charging, Dual Input Ports(Micro-USB and Type C), Triple Output Ports, (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,2499.0,1499.0,40.0,1000.0
"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,2199.0,1149.0,48.0,1050.0
"ELV Car Mount Adjustable Car Phone Holder Universal Long Arm, Windshield for Smartphones - Black",Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,999.0,349.0,65.0,650.0
Samsung 25W USB Travel Adapter for Cellular Phones - White,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,1699.0,1219.0,28.0,480.0
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Jet Black)",Electronics|WearableTechnology|SmartWatches,3999.0,1599.0,60.0,2400.0
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces - Black",Electronics|WearableTechnology|SmartWatches,7999.0,1499.0,81.0,6500.0
"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,25999.0,18499.0,29.0,7500.0
"SanDisk Ultra microSD UHS-I Card 32GB, 120MB/s R",Electronics|Accessories|MemoryCards|MicroSD,700.0,369.0,47.0,331.0
"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,17999.0,12999.0,28.0,5000.0
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Electronics|WearableTechnology|SmartWatches,19999.0,1799.0,91.0,18200.0
"Fire-Boltt India's No 1 Smartwatch Brand Talk 2 Bluetooth Calling Smartwatch with Dual Button, Hands On Voice Assistance, 60 Sports Modes, in Built Mic & Speaker with IP68 Rating",Electronics|WearableTechnology|SmartWatches,9999.0,2199.0,78.0,7800.0
"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,24999.0,16999.0,32.0,8000.0
"iQOO vivo Z6 5G (Chromatic Blue, 6GB RAM, 128GB Storage) | Snapdragon 695-6nm Processor | 120Hz FHD+ Display | 5000mAh Battery",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,20999.0,16499.0,21.0,4500.0
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Electronics|WearableTechnology|SmartWatches,19999.0,1799.0,91.0,18200.0
"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1099.0,399.0,64.0,700.0
"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,10999.0,8499.0,23.0,2500.0
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,8499.0,6499.0,24.0,2000.0
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Electronics|WearableTechnology|SmartWatches,19999.0,1799.0,91.0,18200.0
"Redmi 10A (Sea Blue, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,11999.0,8999.0,25.0,3000.0
AGARO Blaze USB 3.0 to USB Type C OTG Adapter,Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,495.0,139.0,72.0,356.0
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368*448 Pixel Resolution 100+ Sports Mode, TWS Connection, Voice Assistance, SPO2 & Heart Rate Monitoring",Electronics|WearableTechnology|SmartWatches,16999.0,3999.0,76.0,13000.0
"Noise ColorFit Pro 4 Advanced Bluetooth Calling Smart Watch with 1.72"" TruView Display, Fully-Functional Digital Crown, 311 PPI, 60Hz Refresh Rate, 500 NITS Brightness (Charcoal Black)",Electronics|WearableTechnology|SmartWatches,5999.0,2998.0,50.0,3001.0
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.0,199.0,43.0,150.0
"iQOO Z6 Lite 5G by vivo (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,18999.0,15499.0,18.0,3500.0
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,999.0,199.0,80.0,800.0
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Electronics|WearableTechnology|SmartWatches,19999.0,1799.0,91.0,18200.0
"Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,11999.0,8999.0,25.0,3000.0
"Duracell 38W Fast Car Charger Adapter with Dual Output. Quick Charge, Type C PD 20W & Qualcomm Certified 3.0 Compatible for iPhone, All Smartphones, Tablets & More (Copper & Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,1699.0,873.0,49.0,826.0
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,15999.0,12999.0,19.0,3000.0
"WeCool Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones",Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,1599.0,539.0,66.0,1060.0
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",Electronics|WearableTechnology|SmartWatches,9999.0,1999.0,80.0,8000.0
"OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,20990.0,15490.0,26.0,5500.0
"Redmi Note 11 Pro + 5G (Stealth Black, 6GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,24999.0,19999.0,20.0,5000.0
"Samsung Original 25W USB Travel Lightning Adapter for Cellular Phones, Black",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,1699.0,1075.0,37.0,624.0
realme Buds Classic Wired in Ear Earphones with Mic (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",699.0,399.0,43.0,300.0
"Noise ColorFit Pulse Grand Smart Watch with 1.69"" HD Display, 60 Sports Modes, 150 Watch Faces, Spo2 Monitoring, Call Notification, Quick Replies to Text & Calls (Rose Pink)",Electronics|WearableTechnology|SmartWatches,3990.0,1999.0,50.0,1991.0
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes, HR, SpO2, IP68(Mauve)",Electronics|WearableTechnology|SmartWatches,7990.0,1999.0,75.0,5991.0
"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,699.0,329.0,53.0,370.0
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,154.0,61.0,245.0
"iQOO Neo 6 5G (Dark Nova, 8GB RAM, 128GB Storage) | Snapdragon® 870 5G | 80W FlashCharge",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,34999.0,28999.0,17.0,6000.0
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,7990.0,2299.0,71.0,5691.0
"Tygot Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones",Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,1999.0,399.0,80.0,1600.0
"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue",Electronics|Accessories|MemoryCards|MicroSD,3999.0,1149.0,71.0,2850.0
"Portronics Adapto 20 Type C 20W Fast PD/Type C Adapter Charger with Fast Charging for iPhone 12/12 Pro/12 Mini/12 Pro Max/11/XS/XR/X/8/Plus, iPad Pro/Air/Mini, Galaxy 10/9/8 (Adapter Only) White",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,1499.0,529.0,65.0,970.0
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,19499.0,13999.0,28.0,5500.0
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",999.0,379.0,62.0,620.0
"iQOO Z6 44W by vivo (Lumina Blue, 4GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,19999.0,13999.0,30.0,6000.0
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking",Electronics|WearableTechnology|SmartWatches,9999.0,3999.0,60.0,6000.0
"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1000.0,149.0,85.0,851.0
"STRIFF PS2_01 Multi Angle Mobile/Tablet Tabletop Stand. Phone Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable, Foldable Cell Phone Stand. Perfect for Bed, Office, Home & Desktop (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,499.0,99.0,80.0,400.0
"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",15990.0,4790.0,70.0,11200.0
"OnePlus Nord 2T 5G (Jade Fog, 12GB RAM, 256GB Storage)",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,33999.0,33999.0,0.0,0.0
Sounce Spiral Charger Cable Protector Data Cable Saver Charging Cord Protective Cable Cover Headphone MacBook Laptop Earphone Cell Phone Set of 3 (Cable Protector (12 Units)),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,999.0,99.0,90.0,900.0
"PTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1900.0,299.0,84.0,1601.0
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,14999.0,10999.0,27.0,4000.0
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,38999.0,34999.0,10.0,4000.0
"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,24999.0,16999.0,32.0,8000.0
"Ambrane Mobile Holding Stand, 180° Perfect View, Height Adjustment, Wide Compatibility, Multipurpose, Anti-Skid Design (Twistand, Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,499.0,199.0,60.0,300.0
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,1599.0,999.0,38.0,600.0
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Blue",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,1599.0,1299.0,19.0,300.0
"PTron Tangent Lite Bluetooth 5.0 Earphones with Mic, Hi-Fi Stereo Sound Neckband, 8Hrs Playtime, Lightweight Snug-fit in-Ear Headphones, IPX4 Water Resistant, Fast Charge & Voice Assistant (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1800.0,599.0,67.0,1201.0
"Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA), Blue",Electronics|Accessories|MemoryCards|MicroSD,1899.0,599.0,68.0,1300.0
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,2499.0,1799.0,28.0,700.0
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,176.63,65.0,322.37
"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,14999.0,10999.0,27.0,4000.0
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)",Electronics|WearableTechnology|SmartWatches,7990.0,2999.0,62.0,4991.0
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes, HR, SpO2, IP68(Deep Blue)",Electronics|WearableTechnology|SmartWatches,7990.0,1999.0,75.0,5991.0
MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,229.0,23.0,70.0
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,199.0,33.0,100.0
MI Xiaomi 22.5W Fast USB Type C Charger Combo for Tablets - White,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,999.0,649.0,35.0,350.0
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,19499.0,13999.0,28.0,5500.0
"Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger, iPhone Charger, Wire Protector, Lightweight Durable Flexible Wire Winder for Charging Cables, Data Cables, Earphones, Pack of 10",Electronics|Mobiles&Accessories|MobileAccessories|Décor,299.0,119.0,60.0,180.0
"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,17999.0,12999.0,28.0,5000.0
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.0,154.0,55.0,185.0
"Redmi Note 11 Pro + 5G (Phantom White, 8GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,26999.0,20999.0,22.0,6000.0
"USB Charger, Oraimo Elite Dual Port 5V/2.4A Wall Charger, USB Wall Charger Adapter for iPhone 11/Xs/XS Max/XR/X/8/7/6/Plus, iPad Pro/Air 2/Mini 3/Mini 4, Samsung S4/S5, and More",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,649.0,249.0,62.0,400.0
Goldmedal Curve Plus 202042 Plastic Spice 3-Pin 240V Universal Travel Adaptor (White),Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,171.0,99.0,42.0,72.0
"WeCool C1 Car Mobile Holder with One Click Technology,360° Rotational, Strong Suction Cup,Compatible with 4 to 6 Inch Devices, Wildshield and Dashboard Mobile Holder for Car, and Use",Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,1999.0,489.0,76.0,1510.0
HP 32GB Class 10 MicroSD Memory Card (U1 TF Card 32GB),Electronics|Accessories|MemoryCards|MicroSD,1600.0,369.0,77.0,1231.0
"iQOO Z6 44W by vivo (Lumina Blue, 6GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,20999.0,15499.0,26.0,5500.0
"iQOO Z6 Lite 5G by vivo (Mystic Night, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,18999.0,15499.0,18.0,3500.0
"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,28999.0,22999.0,21.0,6000.0
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1490.0,599.0,60.0,891.0
Portronics MODESK POR-122 Universal Mobile Tabletop Holder (Black),Electronics|Mobiles&Accessories|MobileAccessories|Stands,699.0,134.0,81.0,565.0
"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,7999.0,7499.0,6.0,500.0
MI 10000mAh 3i Lithium Polymer Power Bank Dual Input(Micro-USB and Type C) and Output Ports 18W Fast Charging (Metallic Blue),Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,2199.0,1149.0,48.0,1050.0
"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Red",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,1699.0,1324.0,22.0,375.0
"iQOO Z6 44W by vivo (Raven Black, 4GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,19999.0,13999.0,30.0,6000.0
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799.0,299.0,63.0,500.0
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,1599.0,999.0,38.0,600.0
"Samsung Galaxy M13 (Stardust Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,17999.0,12999.0,28.0,5000.0
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,20990.0,15490.0,26.0,5500.0
Spigen EZ Fit Tempered Glass Screen Protector Guard for iPhone 14/13/13 Pro - 2 Pack,"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",2899.0,999.0,66.0,1900.0
"Noise ColorFit Pulse Smartwatch with 3.56 cm (1.4"") Full Touch HD Display, SpO2, Heart Rate, Sleep Monitors & 10-Day Battery - Jet Black",Electronics|WearableTechnology|SmartWatches,4999.0,1599.0,68.0,3400.0
"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Charcoal",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,1699.0,1324.0,22.0,375.0
"iQOO Z6 Pro 5G by vivo (Legion Sky, 8GB RAM, 128GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,29990.0,20999.0,30.0,8991.0
MI 33W SonicCharge 2.0 USB Charger for Cellular Phones - White,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,1999.0,999.0,50.0,1000.0
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,15990.0,12490.0,22.0,3500.0
"iQOO vivo Z6 5G (Chromatic Blue, 8GB RAM, 128GB Storage) | Snapdragon 695-6nm Processor | 120Hz FHD+ Display | 5000mAh Battery",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,21990.0,17999.0,18.0,3991.0
"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899.0,350.0,61.0,549.0
"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Rose Gold",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,1630.0,1399.0,14.0,231.0
Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,159.0,60.0,240.0
"boAt Wave Lite Smartwatch with 1.69"" HD Display, Heart Rate & SpO2 Level Monitor, Multiple Watch Faces, Activity Tracker, Multiple Sports Modes & IP68 (Deep Blue)",Electronics|WearableTechnology|SmartWatches,6990.0,1499.0,79.0,5491.0
"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes,HR,SpO2(Caribbean Green)",Electronics|WearableTechnology|SmartWatches,7990.0,1999.0,75.0,5991.0
Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro Max - 2 Pack (Sensor Protection),"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",2899.0,999.0,66.0,1900.0
"KINGONE Upgraded Stylus Pen, iPad Pencil, Ultra High Precision & Sensitivity, Palm Rejection, Prevents False ON/Off Touch, Power Display, Tilt Sensitivity, Magnetic Adsorption for iPad 2018 and Later",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,5999.0,2099.0,65.0,3900.0
"Portronics CarPower Mini Car Charger with Dual Output, Fast Charging (Type C PD 18W + QC 3.0A) Compatible with All Smartphones(Black)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,699.0,337.0,52.0,362.0
